,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Lifetime,,,,,Years,30,30,30,30,30,30,30,30,30,30,30,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Market share,,,,BC_Oil&Coal_Calibration_09.11.24.xlsb,%,0%,,,,,,,,,,,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Market share new_max,,,,,%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,Output,,,,,GJ,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,2050000,,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,FCC,,,,,$,"19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412","19,871,412",,
CIMS.CAN.BC.Petroleum Crude.Steam,Service,BC,Petroleum Crude,Steam,NG COGEN Eff,FOM,,,,,$,579583,491913,491913,491913,491913,491913,491913,491913,491913,491913,491913,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore ELDAR EM EE,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore ELDAR EM EE,Service requested,,,CIMS.Generic Fuels.Propane,,GJ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
CIMS.CAN.BC.Petroleum Crude.Refinable Crude Oil.Light Medium.Onshore,Service,BC,Petroleum Crude,Onshore,Onshore Energy Eff Measures,Service requested,,,CIMS.Generic Fuels.Fuel Oil,,GJ,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,,
