,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Ethanol.Steam,Service,QC,Ethanol,Steam,Boilers NG IA CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Ethanol.Steam,Service,QC,Ethanol,Steam,BPST NG 30 MW CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Boilers Coal CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,Boilers NG IA CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Biodiesel.Steam,Service,QC,Biodiesel,Steam,BPST NG 30 MW CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Refined Petroleum Products.Petroleum Fractions.Cracked Gas Oil.Hydrocracking.Cracking,Service,QC,Petroleum Refining,Cracking,Fluidized catalytic cracking CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired boiler Eff CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Steam,Service,QC,Petroleum Refining,Steam,Still Gas fired cogen CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Still Gas.Heater,Service,QC,Petroleum Refining,Heater,Still Gas fired increased Eff CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Hydrogen,Service,QC,Petroleum Refining,Hydrogen,NG steam reforming Eff CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
CIMS.CAN.QC.Petroleum Refining.Direct Heat,Service,QC,Petroleum Refining,Direct Heat,Petcoke,Market share new_max,,,,,%,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
CIMS.CAN.QC.Petroleum Refining.Steam,Service,QC,Petroleum Refining,Steam,NG CCS,Market share new_max,,,,,%,0,0,0,0,0.001,1,1,1,1,1,1,
