Year,Region,Economic Category,National Inventory Category,National Inventory Sub-category,National Inventory Sub-sub-category,CO2eq,Unit
2000,Alberta,Upstream Oil and Gas,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Upstream Oil and Gas,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Upstream Oil and Gas,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Upstream Oil and Gas,Waste,Total,,0,Mt
2000,Alberta,Upstream Oil and Gas,CO2 Captured,Total,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Total,,,53.47079777,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Stationary Combustion,Stationary,25.50684822,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Stationary Combustion,Electricity,x,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Transport,,x,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Fugitive (Unintentional),,5.445018643,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Flaring,,1.081664655,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Venting,,19.76284523,Mt
2000,Alberta,Natural Gas Production and Processing,Energy,Total,,53.47079777,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Agriculture,Manure Management,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Agriculture,Total,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Natural Gas Production and Processing,Waste,Total,,0,Mt
2000,Alberta,Natural Gas Production and Processing,CO2 Captured,Total,,0,Mt
2000,Alberta,Conventional Oil Production,Total,,,21.34133524,Mt
2000,Alberta,Conventional Oil Production,Energy,Stationary Combustion,Stationary,3.126377311,Mt
2000,Alberta,Conventional Oil Production,Energy,Stationary Combustion,Electricity,0,Mt
2000,Alberta,Conventional Oil Production,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Conventional Oil Production,Energy,Transport,,0.577425448,Mt
2000,Alberta,Conventional Oil Production,Energy,Fugitive (Unintentional),,4.174025881,Mt
2000,Alberta,Conventional Oil Production,Energy,Flaring,,2.122582268,Mt
2000,Alberta,Conventional Oil Production,Energy,Venting,,11.34092433,Mt
2000,Alberta,Conventional Oil Production,Energy,Total,,21.34133524,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Conventional Oil Production,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Conventional Oil Production,Agriculture,Manure Management,,0,Mt
2000,Alberta,Conventional Oil Production,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Conventional Oil Production,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Conventional Oil Production,Agriculture,Total,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Conventional Oil Production,Waste,Total,,0,Mt
