,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,Navigate
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff backward inclined fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,Low Eff radial fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff radial fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,Low Eff airfoil fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff airfoil fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,Low Eff vane axial tube axial fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Ventilation,Service,BC,Coal Mining,Ventilation,High Eff vane axial tube axial fan,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,Low Eff belt conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff belt conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,Low Eff screw conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff screw conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,Low Eff apron conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff apron conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,Low Eff chain conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Conveyance,Service,BC,Coal Mining,Conveyance,High Eff chain conveyor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,Low Eff centrifugal compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff centrifugal compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,Low Eff reciprocating compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff reciprocating compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,Low Eff rotary compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Small,Service,BC,Coal Mining,Small,High Eff rotary compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,Low Eff centrifugal compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,High Eff centrifugal compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,Low Eff reciprocating compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,High Eff reciprocating compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,Low Eff rotary compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Compression.Large,Service,BC,Coal Mining,Large,High Eff rotary compressor,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Small,Service,BC,Coal Mining,Small,Low Eff centrifugal pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Small,Service,BC,Coal Mining,Small,Med Eff centrifugal pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Small,Service,BC,Coal Mining,Small,High Eff centrifugal pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Large,Service,BC,Coal Mining,Large,Low Eff centrifugal pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Large,Service,BC,Coal Mining,Large,Med Eff centrifugal pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.General.Large,Service,BC,Coal Mining,Large,High Eff centrifugal pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Slurry Stock.Small,Service,BC,Coal Mining,Small,Rotary pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Slurry Stock.Small,Service,BC,Coal Mining,Small,Eff rotary pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Slurry Stock.Large,Service,BC,Coal Mining,Large,Rotary pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Slurry Stock.Large,Service,BC,Coal Mining,Large,Eff rotary pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Precision.Small,Service,BC,Coal Mining,Small,Reciprocating pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Precision.Small,Service,BC,Coal Mining,Small,Eff reciprocating pump variable speed,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
CIMS.CAN.BC.Coal Mining.Pumping.Precision.Large,Service,BC,Coal Mining,Large,Reciprocating pump,FIC,,,,,$,0,0,0,0,0,0,0,0,0,0,0,,
