"REF_DATE","GEO","DGUID","Coal and coke, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-02","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","21","","","","0"
"1946-02","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","157","","","","0"
"1946-02","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","759","","","","0"
"1946-02","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","138","","","","0"
"1946-03","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1441","","","","0"
"1946-03","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1086","","","","0"
"1946-03","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","246","","","","0"
"1946-03","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","109","","","","0"
"1946-03","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1318","","","t","0"
"1946-03","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2702","","","t","0"
"1946-03","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","307","","","","0"
"1946-03","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","467","","","","0"
"1946-03","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","24","","","","0"
"1946-03","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","109","","","","0"
"1946-03","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","692","","","","0"
"1946-03","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","149","","","","0"
"1946-04","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1234","","","","0"
"1946-04","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","998","","","","0"
