,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Fuel,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.AB.Coal Mining,Sector,,AB,Iron and Steel,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Natural Gas Extraction,Sector,,AB,Natural Gas Extraction,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Petroleum Crude,Sector,,AB,Petroleum Crude,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Petroleum Refining,Sector,,AB,Petroleum Refining,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Industrial Minerals,Sector,,AB,Industrial Minerals,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Chemical Products,Sector,,AB,Chemical Products,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Pulp and Paper,Sector,,AB,Pulp and Paper,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,,AB,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
CIMS.CAN.AB.Light Industrial.Manufacturing.Transportation Equipment,Sector,,AB,Transportation Equipment,,,Tax,CO2,Combustion,,Govt of Canada,$/tCO2e,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!K$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!L$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!M$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!N$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!O$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!P$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!Q$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!R$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!S$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!T$26*0.1,='N:\CIMS\Sources\Macro\[Macro inputs.xlsx]Prices'!U$26*0.1,
