,<-- Navigate by typing to search,,,,,,,,,,,=M2,=N2,=O2,=P2,2019,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Service,QC,Electricity,,,Service requested,Utility Generation,,CIMS.CAN.QC.Electricity.Utility Generation,,MWh,"=INDEX('P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$I$2:$CO$3376,MATCH(""22111_Util""&""Quebec""&""MWh""&""Total"",'P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$A$2:$A$3376,0),MATCH(M$1,'P:\CIEEDATA\2023\_NAICS 2023 - 1 Data.xlsx'!Years_Elec,0))/SUM('P:\xCIMS\cims-models\models\[CIMS_base model.xlsb]QC'!M$2047:M$2049)","=INDEX('P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$I$2:$CO$3376,MATCH(""22111_Util""&""Quebec""&""MWh""&""Total"",'P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$A$2:$A$3376,0),MATCH(N$1,'P:\CIEEDATA\2023\_NAICS 2023 - 1 Data.xlsx'!Years_Elec,0))/SUM('P:\xCIMS\cims-models\models\[CIMS_base model.xlsb]QC'!N$2047:N$2049)","=INDEX('P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$I$2:$CO$3376,MATCH(""22111_Util""&""Quebec""&""MWh""&""Total"",'P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$A$2:$A$3376,0),MATCH(O$1,'P:\CIEEDATA\2023\_NAICS 2023 - 1 Data.xlsx'!Years_Elec,0))/SUM('P:\xCIMS\cims-models\models\[CIMS_base model.xlsb]QC'!O$2047:O$2049)","=INDEX('P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$I$2:$CO$3376,MATCH(""22111_Util""&""Quebec""&""MWh""&""Total"",'P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$A$2:$A$3376,0),MATCH(P$1,'P:\CIEEDATA\2023\_NAICS 2023 - 1 Data.xlsx'!Years_Elec,0))/SUM('P:\xCIMS\cims-models\models\[CIMS_base model.xlsb]QC'!P$2047:P$2049)","=INDEX('P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$I$2:$CO$3376,MATCH(""22111_Util""&""Quebec""&""MWh""&""Total"",'P:\CIEEDATA\2023\[_NAICS 2023 - 1 Data.xlsx]Elec_data'!$A$2:$A$3376,0),MATCH(Q$1,'P:\CIEEDATA\2023\_NAICS 2023 - 1 Data.xlsx'!Years_Elec,0))/SUM('P:\xCIMS\cims-models\models\[CIMS_base model.xlsb]QC'!Q$2047:Q$2049)",=Q3*(1.01)^5,=R3*(1.01)^5,=S3*(1.01)^5,=T3*(1.01)^5,=U3*(1.01)^5,=V3*(1.01)^5,Includes transmission losses
CIMS.CAN.QC.Electricity,Sector,QC,Electricity,,,Service requested,Utility Generation,,CIMS.CAN.QC.Electricity.Utility Generation,,MWh,0,0,0,0,0,0,0,0,0,0,0,
